"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the cancel transaction button functionality.","16173","Calculation Testing | Scenario=S5 | Mode=BHIM UPI QR | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 11:25:23 IST 2025","passed","Thu Sep 25 11:25:39 IST 2025","TestCalculations","Calculation_test","",""
"","18884","Calculation Testing | Scenario=S12 | Mode=UPI | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 14:24:17 IST 2025","passed","Thu Sep 25 14:24:36 IST 2025","TestCalculations","Calculation_test","",""
"","18586","Calculation Testing | Scenario=S16 | Mode=UPI INTENT | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 15:42:30 IST 2025","passed","Thu Sep 25 15:42:49 IST 2025","TestCalculations","Calculation_test","",""
"","18447","Calculation Testing | Scenario=S17 | Mode=BHIM UPI QR | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 17:21:25 IST 2025","broken","Thu Sep 25 17:21:43 IST 2025","TestCalculations","Calculation_test","",""
"","19146","Calculation Testing | Scenario=S14 | Mode=RuPay Card | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 14:58:08 IST 2025","passed","Thu Sep 25 14:58:28 IST 2025","TestCalculations","Calculation_test","",""
"","16571","Calculation Testing | Scenario=S11 | Mode=Net Banking | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 13:36:12 IST 2025","passed","Thu Sep 25 13:36:28 IST 2025","TestCalculations","Calculation_test","",""
"","25973","Calculation Testing | Scenario=S17 | Mode=Cash | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 17:17:57 IST 2025","broken","Thu Sep 25 17:18:23 IST 2025","TestCalculations","Calculation_test","",""
"","17085","Calculation Testing | Scenario=S7 | Mode=UPI INTENT | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 12:44:21 IST 2025","passed","Thu Sep 25 12:44:38 IST 2025","TestCalculations","Calculation_test","",""
"","17759","Calculation Testing | Scenario=S7 | Mode=UPI INTENT | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 12:44:47 IST 2025","passed","Thu Sep 25 12:45:05 IST 2025","TestCalculations","Calculation_test","",""
"","16946","Calculation Testing | Scenario=S13 | Mode=BHIM UPI QR | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 14:41:15 IST 2025","passed","Thu Sep 25 14:41:32 IST 2025","TestCalculations","Calculation_test","",""
"","16311","Calculation Testing | Scenario=S9 | Mode=UPI INTENT | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 13:16:15 IST 2025","passed","Thu Sep 25 13:16:31 IST 2025","TestCalculations","Calculation_test","",""
"","16603","Calculation Testing | Scenario=S6 | Mode=Wallet | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 12:20:13 IST 2025","passed","Thu Sep 25 12:20:29 IST 2025","TestCalculations","Calculation_test","",""
"","17182","Calculation Testing | Scenario=S9 | Mode=Wallet | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 13:08:32 IST 2025","passed","Thu Sep 25 13:08:49 IST 2025","TestCalculations","Calculation_test","",""
"","10718","Calculation Testing | Scenario=S16 | Mode=Wallet | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 15:41:52 IST 2025","failed","Thu Sep 25 15:42:03 IST 2025","TestCalculations","Calculation_test","",""
"","9201","Calculation Testing | Scenario=S8 | Mode=NEFT/RTGS | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 12:50:53 IST 2025","failed","Thu Sep 25 12:51:03 IST 2025","TestCalculations","Calculation_test","",""
"","17273","Calculation Testing | Scenario=S13 | Mode=Net Banking | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 14:36:01 IST 2025","passed","Thu Sep 25 14:36:19 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","17033","Calculation Testing | Scenario=S4 | Mode=UPI INTENT | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 11:15:30 IST 2025","passed","Thu Sep 25 11:15:47 IST 2025","TestCalculations","Calculation_test","",""
"","36858","Calculation Testing | Scenario=S9 | Mode=RTGS | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 13:11:46 IST 2025","broken","Thu Sep 25 13:12:23 IST 2025","TestCalculations","Calculation_test","",""
"","19116","Calculation Testing | Scenario=S11 | Mode=RuPay Credit Card | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 13:45:51 IST 2025","passed","Thu Sep 25 13:46:10 IST 2025","TestCalculations","Calculation_test","",""
"","16711","Calculation Testing | Scenario=S11 | Mode=Net Banking | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 13:35:48 IST 2025","passed","Thu Sep 25 13:36:05 IST 2025","TestCalculations","Calculation_test","",""
"","17180","Calculation Testing | Scenario=S6 | Mode=Cash | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 12:16:36 IST 2025","passed","Thu Sep 25 12:16:53 IST 2025","TestCalculations","Calculation_test","",""
"","18414","Calculation Testing | Scenario=S11 | Mode=Credit Card | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 13:34:14 IST 2025","passed","Thu Sep 25 13:34:32 IST 2025","TestCalculations","Calculation_test","",""
"","16818","Calculation Testing | Scenario=S10 | Mode=NEFT/RTGS | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 13:22:47 IST 2025","passed","Thu Sep 25 13:23:04 IST 2025","TestCalculations","Calculation_test","",""
"","16370","Calculation Testing | Scenario=S15 | Mode=NEFT/RTGS | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 15:08:44 IST 2025","passed","Thu Sep 25 15:09:00 IST 2025","TestCalculations","Calculation_test","",""
"","17530","Calculation Testing | Scenario=S14 | Mode=Cash | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 14:51:50 IST 2025","passed","Thu Sep 25 14:52:07 IST 2025","TestCalculations","Calculation_test","",""
"","24396","Calculation Testing | Scenario=S16 | Mode=Debit Card | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 15:40:38 IST 2025","passed","Thu Sep 25 15:41:02 IST 2025","TestCalculations","Calculation_test","",""
